blend,n_points,Feed_Temp_C_MAE,Feed_Temp_C_RMSE,Feed_Flow_kg_h_MAE,Feed_Flow_kg_h_RMSE,Feed_Flow_m3_h_MAE,Feed_Flow_m3_h_RMSE,Steam_Rate_kg_h_MAE,Steam_Rate_kg_h_RMSE,Naphtha_Yield_%_MAE,Naphtha_Yield_%_RMSE,Naphtha_Yield_kg_h_MAE,Naphtha_Yield_kg_h_RMSE,Naphtha_API_MAE,Naphtha_API_RMSE,Naphtha_RVP_bar_MAE,Naphtha_RVP_bar_RMSE,Reflux_Ratio_MAE,Reflux_Ratio_RMSE,QLine_Duty_J_h_MAE,QLine_Duty_J_h_RMSE,Condenser_Duty_J_h_MAE,Condenser_Duty_J_h_RMSE,Overall_Heat_Duty_J_h_MAE,Overall_Heat_Duty_J_h_RMSE,mean_MAE_across_vars,mean_RMSE_across_vars
Blend_1,40,15.360168932499999,19.012432910759415,14600.115579999994,17229.405901063146,16.746492107500007,19.562547628135814,187.6707259499999,229.93557615195203,1.4108938312500003,1.7460642020718729,6632.75068575,8019.88549670118,1.858629562499999,2.405189523711535,0.080669258675,0.09627532740364671,0.05809556287500004,0.06921461489831299,481855.96924999973,604915.9091547596,356430.3787499994,452033.21949866076,794509.7975000006,1029944.0451899875,137854.34978674623,176034.60771179423
Blend_2,40,17.931933575,20.476441227313252,14632.625402499994,17760.060607455132,16.307886675,19.663169559601176,174.172299925,207.99332098530212,0.9359923984,1.1444807344252792,4884.2220625,5923.714194580239,2.3567236444999997,2.7385907167743326,0.063442182,0.07190150101306239,0.065509761175,0.07548982527768629,559771.2147499999,699806.9223332583,355528.62899999955,435501.93140698865,869376.2719999999,1082251.4667454013,150367.06641693003,186791.3548901861
Blend_3,40,15.953323319999999,18.238558563908732,14286.072887499991,17645.484341744625,15.624928812500007,19.631099026287895,191.73190977499993,234.23533692124155,1.284369635025,1.5515634300157373,6315.8476575,7848.045528337688,2.2340762755,2.6017132925104702,0.06545819909999999,0.08137285411653188,0.069661498075,0.08406409693174093,674763.5827500001,848079.3578989743,474085.67124999966,577512.5572864994,1098352.7357500005,1389006.5434617728,189002.57283520963,236697.36768545947
Blend_4,40,18.121585442499995,21.427499170270156,15307.176247500003,18606.56473046155,18.301169025000004,21.63964517628478,201.0000721999999,241.09822708616895,1.23631868475,1.5462702624573554,7339.057468249998,9112.25152023687,1.9756481094999998,2.3465604045263486,0.06163450145000001,0.07431254281624462,0.06375080905000001,0.07722424545777933,725081.6194999998,864853.780409152,391904.9802499997,474435.97838851716,1067737.6232500006,1299826.030749588,183967.60140787685,222260.2346280703
